ano,estacao,latitude,longitude,prazo,vigente
2021,Vila Matias,-18.5747,-41.9178,2021-10-23,TRUE
2021,Rio Uberaba,-19.715329,-47.936703,2021-10-23,TRUE
2021,São Pedro do Suaçuí,-18.3631,-42.6022,2021-08-31,TRUE
2020,Bico da Pedra,-15.8283,-43.2625,2021-04-30,FALSE
2020,Carbonita,-17.5792,-42.9953,2020-11-30,FALSE
2020,Presidente Juscelino Jusante,-18.645,-44.0506,2020-11-30,FALSE
2020,Bom Jardim,-16.1086,-43.8561,2020-11-30,FALSE
2019,Vila Matias,-18.5747,-41.9178,,FALSE
2019,Pega,-16.8600,-42.3483,,FALSE
2019,Entre Rios de Minas,-20.6611,-44.0722,,FALSE
2019,Santa Izabel,-17.2655,-46.9555,2019-11-15,FALSE
2019,Santo Hipólito,-18.3058,-44.2255,2019-11-15,FALSE
2019,Fazenda Cajueiro,-16.1200,-40.7391,2019-11-30,FALSE
2019,Rio Pacuí,-16.6419,-44.2127,2019-11-30,FALSE
2019,Carmo do Cajuru,-20.1808,-44.7938,2019-11-30,FALSE
2019,Bico da Pedra,-15.8283,-43.2625,2020-04-30,FALSE
2019,Fazenda Facão,-16.9711,-42.1155,2020-01-15,FALSE
