UF,SITUACAO,LIXO,n,p
11,Urbano,1,1126238.7313731536,83.18053857841345
12,Urbano,1,544903.2681614743,86.03102121903302
13,Urbano,1,2832613.575886154,86.12481288775878
14,Urbano,1,436930.30401899235,96.56711094302425
15,Urbano,1,5686380.037423256,91.9727796399049
16,Urbano,1,702168.0175457853,94.74713295229814
17,Urbano,1,1061827.0416098535,82.810058921049
21,Urbano,1,3595981.9696707814,74.55798947470312
22,Urbano,1,2030166.254333638,94.58809156365639
23,Urbano,1,6219722.844532362,89.85945680445536
24,Urbano,1,2650164.5843766066,94.74538972282915
25,Urbano,1,2843960.0365226436,90.81225233866671
26,Urbano,1,6488371.377555884,82.06701626708598
27,Urbano,1,2167917.567104039,85.7547362146854
28,Urbano,1,1711180.2596380343,95.1068917754842
29,Urbano,1,8392242.892062016,78.33983995989786
31,Urbano,1,17729174.503285546,96.20748722001935
32,Urbano,1,3301785.093186507,95.50670852484271
33,Urbano,1,15480505.552678859,92.06610454497867
35,Urbano,1,42596803.44949044,96.54669261724568
41,Urbano,1,9926339.59581153,98.75507498162499
42,Urbano,1,5726013.112279191,93.12423330537689
43,Urbano,1,9348400.157109693,94.82362298813125
50,Urbano,1,2360107.444469432,96.02385511788553
51,Urbano,1,2850553.7098653642,97.1626499806568
52,Urbano,1,6334043.033312538,97.92064661328581
53,Urbano,1,2568197.197205422,90.12026938142057
11,Rural,1,8680.5482467309,2.103253750381039
12,Rural,1,24286.290083480308,10.466332981071314
13,Rural,1,50080.77655273758,7.2158177109659345
14,Rural,1,19569.04481661868,22.421471132818578
15,Rural,1,344639.38606900413,14.49026092579132
16,Rural,1,6109.113283017791,6.332121073748566
17,Rural,1,18508.188522475753,6.6717100190533545
21,Rural,1,321328.8214037726,14.490310089038074
22,Rural,1,182662.29386443124,16.220446733040053
23,Rural,1,551104.2804557378,24.962077161263544
24,Rural,1,339817.80555240245,47.88125888804773
25,Rural,1,204604.12347860172,23.65114024632487
26,Rural,1,274976.2932356968,17.25912712785724
27,Rural,1,238186.54148558452,29.69777844273499
28,Rural,1,240830.2558206009,48.23057795437485
29,Rural,1,1294783.2238485257,31.26815770291801
31,Rural,1,674232.9466816296,24.696354997543754
32,Rural,1,211517.234784295,37.91975216781256
33,Rural,1,285636.3604541152,63.495170705903206
35,Rural,1,960569.3983487342,53.595548603091174
41,Rural,1,529898.1139034288,38.70434374677509
42,Rural,1,544958.6001278089,54.26580205877683
43,Rural,1,791624.2866197793,52.777729533074805
50,Rural,1,26747.855585785455,10.63535162352623
51,Rural,1,58856.970598995955,11.844778791688867
52,Rural,1,39383.770305730606,7.13529662112175
53,Rural,1,21299.08611020449,13.069028884534813
11,Urbano,2,217566.90771055527,16.068824536107897
12,Urbano,2,78554.71057300172,12.40246180751155
13,Urbano,2,330116.05933170306,10.037085214594722
14,Urbano,2,3868.888093688166,0.8550730913667433
15,Urbano,2,334450.03666658007,5.4094695255071805
16,Urbano,2,37819.21878169149,5.103141214812345
17,Urbano,2,193288.72568176576,15.07425421960827
21,Urbano,2,865957.8556613681,17.954505120571483
22,Urbano,2,77915.8715019688,3.6302019956042164
23,Urbano,2,581092.94005531,8.39534127990555
24,Urbano,2,123672.07883520979,4.421370422105559
25,Urbano,2,245790.15966988434,7.848478078332871
26,Urbano,2,1142105.965259448,14.44572503261829
27,Urbano,2,321589.5972400481,12.72088547054233
28,Urbano,2,57117.659776904846,3.1745826053533985
29,Urbano,2,2197170.574755934,20.510129819262712
31,Urbano,2,541238.0855753957,2.9370321890245297
32,Urbano,2,135348.8107326205,3.9150698943125612
33,Urbano,2,1274611.7467441456,7.580407366586134
35,Urbano,2,1435231.091971102,3.252986230188722
41,Urbano,2,93483.23985561625,0.9300451865823818
42,Urbano,2,400654.7503154222,6.51599388818544
43,Urbano,2,486562.3411061619,4.935347569411051
50,Urbano,2,80022.14076259699,3.255798573415406
51,Urbano,2,67937.40481200181,2.3156828308470967
52,Urbano,2,115875.74682985398,1.791372113624987
53,Urbano,2,278613.88656100363,9.77680317446193
11,Rural,2,15629.27385805437,3.7868954728827102
12,Rural,2,13674.136055020732,5.892956918836678
13,Rural,2,21975.022803931224,3.166240015877297
14,Rural,2,449.73963356419017,0.5152946557044203
15,Rural,2,129623.78049323533,5.449993464062191
16,Rural,2,0,0
17,Rural,2,14416.67039165898,5.196826484483799
21,Rural,2,103241.5222471411,4.65567223285447
22,Rural,2,19929.423661013283,1.769736643916095
23,Rural,2,216292.8846023758,9.796911158831778
24,Rural,2,29488.628553525672,4.155028473948242
25,Rural,2,26440.024520076815,3.0563251483345857
26,Rural,2,128805.13312784882,8.084566641054444
27,Rural,2,137346.836054927,17.124795891193248
28,Rural,2,19910.55682259045,3.9874460942411782
29,Rural,2,512851.1229119495,12.385015108293864
31,Rural,2,484495.82488603017,17.74650874761117
32,Rural,2,68624.75619383833,12.302703134809153
33,Rural,2,105798.59382482301,23.518363574832026
35,Rural,2,377585.932088122,21.067634686115017
41,Rural,2,159533.7378074135,11.652520485157492
42,Rural,2,153893.28576403696,15.324361486335691
43,Rural,2,195157.71575986096,13.01119901544122
50,Rural,2,32866.07650203195,13.068048725019255
51,Rural,2,13567.898693601333,2.730496609971525
52,Rural,2,67008.33605081488,12.140136662862869
53,Rural,2,88675.94438639311,54.411183303960435
11,Urbano,3,6936.820454571424,0.5123322838751025
12,Urbano,3,6995.120143312268,1.1044113049816562
13,Urbano,3,65375.679267970474,1.9877289978046702
14,Urbano,3,2541.8788005906267,0.5617872916630814
15,Urbano,3,89544.97257665382,1.4483203683983563
16,Urbano,3,1109.613430818508,0.14972583288950728
17,Urbano,3,22690.682627151746,1.7696071880637458
21,Urbano,3,275181.53284146707,5.705529672359603
22,Urbano,3,28093.30896718922,1.3089038768338639
23,Urbano,3,110173.18744041998,1.591727320537212
24,Urbano,3,12985.049362239335,0.46422534270071936
25,Urbano,3,21339.74335839223,0.6814125845010875
26,Urbano,3,67888.94052524057,0.8586812409832908
27,Urbano,3,7801.304779123904,0.30859053112328483
28,Urbano,3,24302.7906918666,1.3507419052756742
29,Urbano,3,77244.16733052742,0.7210582182068201
31,Urbano,3,112185.61833619075,0.6087760284805633
32,Urbano,3,17199.8712279841,0.49751968758528603
33,Urbano,3,20943.777619183984,0.12455743213895913
35,Urbano,3,16020.580724485753,0.036311036451144786
41,Urbano,3,16412.609341202693,0.16328561505376138
42,Urbano,3,16586.39609676034,0.26975059077279856
43,Urbano,3,7893.122907150022,0.08006230993196818
50,Urbano,3,10488.787039411838,0.42674911661119624
51,Urbano,3,12689.748211263191,0.43253686451390033
52,Urbano,3,14396.587459330976,0.22256292633761324
53,Urbano,3,2605.1424283820015,0.09141670961958266
11,Rural,3,334775.3830284946,81.11441349975807
12,Rural,3,166726.77418701362,71.85197613562816
13,Rural,3,549622.5424660112,79.19158506050715
14,Rural,3,59113.36894173853,67.72986150889
15,Rural,3,1776820.1646631488,74.70587763588202
16,Rural,3,89630.69441377302,92.90258383812608
17,Rural,3,217796.6184987402,78.50989198588599
21,Rural,3,1571598.1929303403,70.8711563794543
22,Rural,3,856051.5924967465,76.01754561964053
23,Rural,3,1290254.3378303798,58.441622540008005
24,Rural,3,323641.46858804865,45.601968734927496
25,Rural,3,593942.1783747146,68.656533016634
26,Rural,3,1088283.6497137481,68.30707345915918
27,Rural,3,401685.3810247185,50.08328083927299
28,Rural,3,222249.3176286928,44.50941183728274
29,Rural,3,2166972.653272181,52.33095502969848
31,Rural,3,1478679.90517028,54.16229516156119
32,Rural,3,262917.399393781,47.13451665432899
33,Rural,3,52567.2729365776,11.685374940869902
35,Rural,3,405949.8722665461,22.650217825887285
41,Rural,3,580990.4719823678,42.436186035009705
42,Rural,3,223119.54971342083,22.217763546354316
43,Rural,3,365841.4488009313,24.390713325951353
50,Rural,3,144359.1783854436,57.39939103860148
51,Rural,3,339522.09031613107,68.3277445943673
52,Rural,3,362197.3315772376,65.62056847580008
53,Rural,3,45643.55967092265,28.00669458989052
11,Urbano,4,0,0
12,Urbano,4,433.80880939375385,0.06849108285197134
13,Urbano,4,1259.1856828827822,0.03828518377954106
14,Urbano,4,96.68173131451906,0.02136788267633411
15,Urbano,4,10243.77830220142,0.1656851561569808
16,Urbano,4,0,0
17,Urbano,4,933.2618996627534,0.07278348532419365
21,Urbano,4,8637.8200590426,0.17909391717707607
22,Urbano,4,1037.3611693233875,0.04833200879932311
23,Urbano,4,3173.9917127548115,0.04585625088756417
24,Urbano,4,0,0
25,Urbano,4,0,0
26,Urbano,4,0,0
27,Urbano,4,0,0
28,Urbano,4,0,0
29,Urbano,4,5726.244062079655,0.05345329599777754
31,Urbano,4,1797.7730500009486,0.009755627804352025
32,Urbano,4,240.74559226806844,0.006963753987754844
33,Urbano,4,571.0556931838139,0.0033961987204331537
35,Urbano,4,0,0
41,Urbano,4,1253.9250093982575,0.012475037462622282
42,Urbano,4,1513.2345235449075,0.024610283290157412
43,Urbano,4,6783.9063741812515,0.06881119438633754
50,Urbano,4,1449.64551339798,0.05898059898798957
51,Urbano,4,1068.0768432727268,0.03640597127364926
52,Urbano,4,0,0
53,Urbano,4,0,0
11,Rural,4,35416.06069562359,8.581135703018
12,Rural,4,11034.361950680732,4.755329283003364
13,Rural,4,16773.524978909176,2.416789573753648
14,Rural,4,3062.2854797886657,3.5086508375320347
15,Rural,4,38497.13749986932,1.618600745642815
16,Rural,4,738.3425449139671,0.7652950881253552
17,Rural,4,12325.013096960514,4.4428396255040905
21,Rural,4,40210.34347765558,1.8132837982989536
22,Rural,4,11154.122264252219,0.9904881966247423
23,Rural,4,66912.03367163335,3.0307573480415457
24,Rural,4,10335.922260164712,1.4563597360096696
25,Rural,4,15859.755779967072,1.833302779275083
26,Rural,4,10306.626626414249,0.6469044189644692
27,Rural,4,6811.692737771606,0.849301310160596
28,Rural,4,1678.2330030140624,0.3360962575141294
29,Rural,4,30621.635579758477,0.739492227573986
31,Rural,4,32927.38469853842,1.2060911375779726
32,Rural,4,1737.3071869253795,0.3114557451299539
33,Rural,4,1680.0116702934397,0.37345605308651697
35,Rural,4,14091.526579573145,0.7862452197473326
41,Rural,4,41987.82563100595,3.066837178247206
42,Rural,4,42756.19529590433,4.257569712946623
43,Rural,4,116104.27807154412,7.740692509394971
50,Rural,4,35691.5888826905,14.191515149778176
51,Rural,4,66503.50314950781,13.383619232549181
52,Rural,4,22095.835846618753,4.003180539428928
53,Rural,4,215.7987941153044,0.13241322463077346
11,Urbano,5,2886.1498894065967,0.2131621791466581
12,Urbano,5,2493.0759981945394,0.39361458562178736
13,Urbano,5,58609.561491930326,1.782007104639029
14,Urbano,5,9025.099098785293,1.994660791269594
15,Urbano,5,58755.52628226652,0.950324993373866
16,Urbano,5,0,0
17,Urbano,5,2032.5243324919359,0.1585130658161994
21,Urbano,5,76120.41457486011,1.5782573763021537
22,Urbano,5,9110.510453157376,0.424470555106212
23,Urbano,5,5848.6984552878375,0.08449908128418175
24,Urbano,5,10321.865735636833,0.36901451236458566
25,Urbano,5,18029.229930701116,0.5757025263760721
26,Urbano,5,205986.29613607505,2.605381186143496
27,Urbano,5,29669.621768394154,1.1736196186356316
28,Urbano,5,5600.478558795216,0.31127293876971585
29,Urbano,5,36159.29433649517,0.337539483522725
31,Urbano,5,22548.950115023523,0.12236203268313214
32,Urbano,5,1336.7565820013713,0.038666726526001165
33,Urbano,5,37374.89137682165,0.22227702093748708
35,Urbano,5,60282.13241891096,0.13663092151649042
41,Urbano,5,0,0
42,Urbano,5,0,0
43,Urbano,5,1591.3561108131125,0.01614160170249447
50,Urbano,5,593.0775133614304,0.024130083293515677
51,Urbano,5,324.71442191693126,0.011068064990740433
52,Urbano,5,3684.1522975204966,0.05695486647275972
53,Urbano,5,328.02649479639126,0.011510734497904438
11,Rural,5,8914.800902207591,2.160012005984724
12,Rural,5,15179.71021057073,6.541793788754497
13,Rural,5,49188.01715960805,7.0871857390996125
14,Rural,5,3821.863603942115,4.3789467126461785
15,Rural,5,75830.27298580039,3.1882613713170587
16,Rural,5,0,0
17,Rural,5,7523.436431437996,2.7119988623620124
21,Rural,5,173520.94768064667,7.82492005495154
22,Rural,5,55311.5765327268,4.911678605850825
23,Rural,5,82107.69834805162,3.719039706973258
24,Rural,5,6425.5967361658495,0.9053841670668644
25,Rural,5,19806.153321129026,2.289485187170369
26,Rural,5,84405.02468445827,5.297755068689975
27,Rural,5,15186.493936940467,1.8934954487698956
28,Rural,5,7429.018867281334,1.4877942656417842
29,Rural,5,123080.70526777321,2.97231755216913
31,Rural,5,26590.86367906462,0.9739918708237829
32,Rural,5,2267.1592713815394,0.4064449773249858
33,Rural,5,0,0
35,Rural,5,3507.422194417991,0.1956987355787523
41,Rural,5,9458.506343702811,0.6908597544554453
42,Rural,5,11596.438043020826,1.1547482896532881
43,Rural,5,3308.5910633317803,0.22058434440117652
50,Rural,5,2398.441104504053,0.9536564309953509
51,Rural,5,5572.061562529622,1.1213597293599322
52,Rural,5,19257.46419422789,3.4889427327493223
53,Rural,5,5009.0258485173,3.073517011900826
11,Urbano,6,340.42061346839654,0.02514242245688951
12,Urbano,6,0,0
13,Urbano,6,989.3403007969878,0.030080611423251934
14,Urbano,6,0,0
15,Urbano,6,3302.8057152364545,0.05342031665870004
16,Urbano,6,0,0
17,Urbano,6,1471.7997121546389,0.11478312013859111
21,Urbano,6,1187.653246462292,0.02462443888656076
22,Urbano,6,0,0
23,Urbano,6,1600.2256513547359,0.02311926293013202
24,Urbano,6,0,0
25,Urbano,6,2572.825026614575,0.08215447212325813
26,Urbano,6,1833.9406224475943,0.023196273168933634
27,Urbano,6,1066.0298164308874,0.042168165013367
28,Urbano,6,1016.7520043171243,0.05651077511702381
29,Urbano,6,4068.56671358771,0.037979223112108364
31,Urbano,6,21116.144281905013,0.11458690198807511
32,Urbano,6,1212.462135794491,0.035071412745696716
33,Urbano,6,547.723466917345,0.0032574366383160036
35,Urbano,6,12079.814846875513,0.027379194597957145
41,Urbano,6,13983.526598946908,0.13911917927624057
42,Urbano,6,4022.042052673784,0.06541193237473117
43,Urbano,6,7494.044335114429,0.07601433643689212
50,Urbano,6,5173.410067160105,0.210486509806366
51,Urbano,6,1222.1104047380838,0.04165628771783208
52,Urbano,6,547.4641983262554,0.008463480278834715
53,Urbano,6,0,0
11,Rural,6,9303.903227733634,2.2542895679754467
12,Rural,6,1140.7438278572972,0.4916108927059892
13,Rural,6,6401.714077365114,0.9223818997963608
14,Rural,6,1261.8457809768506,1.445775152408793
15,Rural,6,13010.10132274855,0.5470058573046076
16,Rural,6,0,0
17,Rural,6,6843.03719564615,2.466733022710759
21,Rural,6,7642.926206462116,0.3446574454026589
22,Rural,6,1014.6847555534673,0.090104200927741
23,Rural,6,1094.8772443320988,0.049592084881881986
24,Rural,6,0,0
25,Rural,6,4439.770017275409,0.5132136222610919
26,Rural,6,6445.752512737784,0.40457328427469214
27,Rural,6,2817.934052022059,0.3513480678682864
28,Rural,6,7233.677187902352,1.4486735909453097
29,Rural,6,12590.919859170683,0.3040623793465282
31,Rural,6,33164.000240394635,1.214758084882131
32,Rural,6,10738.403712602822,1.9251273205943567
33,Rural,6,4173.013535079678,0.9276347253083458
35,Rural,6,30551.779070787332,1.704654929580439
41,Rural,6,47223.447715388786,3.4492528003550644
42,Rural,6,27915.3957882171,2.779754905933266
43,Rural,6,27884.75174143866,1.859081271736484
50,Rural,6,9436.354174184502,3.7520370320795045
51,Rural,6,12879.711120677453,2.5920010420631816
52,Rural,6,42014.27792780139,7.611874968037043
53,Rural,6,2130.332500243592,1.3071629850826247
