rank,cod_rgint,nome_rgint,min,mean,max
1,3108,Varginha,60.77823691460055,96.8733831885242,99.50298210735586
2,3110,Uberaba,65.17027863777089,95.58404558404558,98.86792452830188
3,3111,Uberlândia,1.8779342723004695,94.66843341546905,99.7626582278481
4,3109,Pouso Alegre,30,94.08499752931235,99.37888198757764
5,3113,Divinópolis,0.8429118773946359,91.76408076514346,98.3794165899724
6,3112,Patos de Minas,0.8365019011406843,88.78702366775141,97.66050188391165
7,3107,Barbacena,33.33333333333333,84.28423236514523,98.22695035460993
8,3106,Juíz de Fora,19.782870928829915,84.23238270351862,99.61538461538461
9,3105,Ipatinga,3.7267080745341614,79.0914130712476,93.80831212892281
10,3103,Teófilo Otoni,0.8888888888888888,74.6756133217967,96.39468690702088
11,3104,Governador Valadares,35.35911602209944,74.67250115154306,94.42126672055487
12,3101,Belo Horizonte,1.6194331983805668,72.6677946180605,96.00371747211895
13,3102,Montes Claros,0.20202020202020202,17.555272055651933,92.91553133514986
